Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
33,CCAFS,,,,,,F9 FTB1032.2,,1 May 2017,11:15
34,VAFB,,,,,,F9 FTB1038.2,,15 May 2017,23:21
35,CCAFS,,,,,,F9 B4,,3 June 2017,21:07
36,CCAFS,,,,,,F9 B4B1041.2,,23 June 2017,19:10
37,KSC,,,,,,F9 B4B1039.2,,25 June 2017,20:25
38,VAFB,,,,,,F9 B4,,5 July 2017,23:38
39,CCAFS,,,,,,F9 B5B1046.1,,14 August 2017,16:31
40,CCAFS,,,,,,F9 B4B1043.2,,24 August 2017,18:51
41,CCAFS,,,,,,F9 B4B1040.2,,7 September 2017,14:00
42,VAFB,,,,,,F9 B4B1045.2,,9 October 2017,12:37
43,CCAFS,,,,,,F9 B5,,11 October 2017,22:53:00
44,CCAFS,,,,,,F9 B5B1048,,30 October 2017,19:34
45,VAFB,,,,,,F9 B5B1046.2,,15 December 2017,15:36
46,KSC,,,,,,F9 B5,,23 December 2017,01:27
47,VAFB,,,,,,F9 B5B1048.2,,8 January 2018,01:00
48,CCAFS,,,,,,F9 B5B1047.2,,31 January 2018,21:25
49,CCAFS,,,,,,F9 B5B1046.3,,22 February 2018,14:17
50,VAFB,,,,,,F9 B5,,6 March 2018,05:33
51,CCAFS,,,,,,F9 B5,,30 March 2018,14:14
52,KSC,,,,,,F9 B5B1049.2,,2 April 2018,20:30
53,CCAFS,,,,,,F9 B5B1048.3,,18 April 2018,22:51
54,CCAFS,,,,,,F9 B5[268],,11 May 2018,20:14
55,VAFB,,,,,,F9 B5,,22 May 2018,19:47
56,CCAFS,,,,,,F9 B5B1049.3,,4 June 2018,04:45
57,CCAFS,,,,,,F9 B5B1051.2,,29 June 2018,09:42
58,CCAFS,,,,,,F9 B5B1056.2,,22 July 2018,05:50
59,CCAFS,,,,,,F9 B5B1047.3,,25 July 2018,11:39
60,CCAFS,,,,,,F9 B5,,7 August 2018,05:18
61,CCAFS,,,,,,F9 B5,,10 September 2018,04:45
62,KSC,,,,,,F9 B5B1056.3,,8 October 2018,02:22
63,CCAFS,,,,,,F9 B5,,15 November 2018,20:46
64,CCAFS,,,,,,F9 B5,,3 December 2018,18:34:05
65,CCAFS,,,,,,F9 B5,,5 December 2018,18:16
66,KSC,,,,,,F9 B5,,23 December 2018,13:51
67,KSC,,,,,,F9 B5,,11 January 2019,15:31
68,KSC,,,,,,F9 B5,,22 February 2019,01:45
69,CCAFS,,,,,,F9 B5,,2 March 2019,07:49
70,CCAFS,,,,,,F9 B5,,4 May 2019,06:48
71,CCAFS,,,,,,F9 B5,,24 May 2019,02:30
72,CCAFS,,,,,,F9 B5,,12 June 2019,14:17
73,KSC,,,,,,F9 B5,,25 July 2019,22:01
74,CCAFS,,,,,,F9 B5B1058.2,,6 August 2019,23:23
75,CCAFS,,,,,,F9 B5,,11 November 2019,14:56
76,KSC,,,,,,F9 B5B1049.6,,5 December 2019,17:29
77,KSC,,,,,,F9 B5,,17 December 2019,00:10
78,KSC,,,,,,F9 B5B1060.2,,7 January 2020,02:19:21
79,CCAFS,,,,,,F9 B5B1058.3,,19 January 2020,15:30
80,CCAFS,,,,,,F9 B5B1051.6,,29 January 2020,14:07
81,KSC,,,,,,F9 B5,,17 February 2020,15:05
82,VAFB,,,,,,F9 B5,,7 March 2020,04:50
83,CCAFS,,,,,,F9 B5,,18 March 2020,12:16
84,KSC,,,,,,F9 B5,,22 April 2020,19:30
85,CCSFS,,,,,,F9 B5 ♺,,30 May 2020,19:22
86,KSC,,,,,,F9 B5 ♺,,4 June 2020,01:25
87,CCSFS,,,,,,F9 B5 ♺,,13 June 2020,09:21
88,KSC,,,,,,F9 B5 ♺,,30 June 2020,20:10:46
89,CCSFS,,,,,,F9 B5,,20 July 2020,21:30
90,CCSFS,,,,,,F9 B5B1051.8,,7 August 2020,05:12
91,CCSFS,,,,,,F9 B5B1058.5,,18 August 2020,14:31
92,KSC,,,,,,F9 B5 ♺,,30 August 2020,23:18
93,CCSFS,,,,,,F9 B5 ♺,,3 September 2020,12:46:14
94,KSC,,,,,,F9 B5 ♺,,6 October 2020,11:29:34
95,CCSFS,,,,,,F9 B5 ♺,,18 October 2020,12:25:57
96,CCSFS,,,,,,F9 B5 ♺,,24 October 2020,15:31:34
97,KSC,,,,,,F9 B5B1060.6,,5 November 2020,23:24:23
98,CCSFS,,,,,,F9 B5 ♺,,16 November 2020,00:27
99,KSC,,,,,,F9 B5B1061.2,,21 November 2020,17:17:08
100,CCSFS,,,,,,F9 B5B1060.7,,25 November 2020,02:13
101,KSC,,,,,,F9 B5B1049.9,,6 December 2020,16:17:08
102,CCSFS,,,,,,F9 B5B1051.10,,13 December 2020,17:30:00
103,KSC,,,,,,F9 B5B1058.8,,19 December 2020,14:00:00
104,CCSFS,,,,,,F9 B5B1063.2,,8 January 2021,02:15
105,,,,,,,F9 B5B1067.1,,20 January 2021,13:02
106,,,,,,,F9 B5,,24 January 2021,15:00
107,,,,,,,F9 v1.0B0003.1,,4 February 2021,18:45
108,,,,,,,F9 v1.0B0004.1,,16 February 2021,15:43
109,,,,,,,F9 v1.0B0005.1,,4 March 2021,07:44
110,,,,,,,F9 v1.0B0006.1,,11 March 2021,00:35
111,,,,,,,F9 v1.0B0007.1,,14 March 2021,15:10
112,,,,,,,F9 v1.1B1003,,24 March 2021,16:00
113,,,,,,,F9 v1.1,,7 April 2021,22:41
114,,,,,,,F9 v1.1,,23 April 2021,22:06
115,,,,,,,F9 v1.1,,29 April 2021,19:25
116,,,,,,,F9 v1.1,,4 May 2021,15:15
117,,,,,,,F9 v1.1,,9 May 2021,08:00
118,,,,,,,F9 v1.1,,15 May 2021,05:00
119,,,,,,,F9 v1.1,,26 May 2021,05:52
120,,,,,,,F9 v1.1,,3 June 2021,09:47
121,,,,,,,F9 v1.1,,6 June 2021,23:03
1,,,,,,,F9 v1.1,,4 June 2010,03:50
2,,,,,,,F9 v1.1,,8 December 2010,20:10
3,,,,,,,F9 v1.1,,22 May 2012,23:03
4,,,,,,,F9 v1.1,,8 October 2012,14:21
5,,,,,,,F9 FT,,1 March 2013,01:29
6,,,,,,,F9 v1.1,,29 September 2013,18:42
7,,,,,,,F9 FT,,3 December 2013,23:35
8,,,,,,,F9 FT,,6 January 2014,20:43
9,,,,,,,F9 FT,,18 April 2014,05:21
10,,,,,,,F9 FT,,14 July 2014,21:39
11,,,,,,,F9 FT,,5 August 2014,14:29
12,,,,,,,F9 FT,,7 September 2014,04:45
13,,,,,,,F9 FT,,21 September 2014,05:26
14,,,,,,,F9 FT,,10 January 2015,17:54
15,,,,,,,F9 FT,,11 February 2015,14:39
16,,,,,,,F9 FT,,2 March 2015,06:00
17,,,,,,,F9 FT♺,,14 April 2015,22:27
18,,,,,,,F9 FT,,27 April 2015,11:15
19,,,,,,,F9 FT,,28 June 2015,23:21
20,,,,,,,F9 FT,,22 December 2015,21:07
21,,,,,,,F9 FTB1029.2,,17 January 2016,19:10
22,,,,,,,F9 FT,,4 March 2016,20:25
23,,,,,,,F9 FT,,8 April 2016,23:38
24,,,,,,,F9 B4,,6 May 2016,16:31
25,,,,,,,F9 FT,,27 May 2016,18:51
26,,,,,,,F9 B4,,15 June 2016,14:00
27,,,,,,,F9 B4,,18 July 2016,12:37
28,,,,,,,F9 FTB1031.2,,14 August 2016,22:53:00
29,,,,,,,F9 B4,,14 January 2017,19:34
30,,,,,,,F9 FTB1035.2,,19 February 2017,15:36
31,,,,,,,F9 FTB1036.2,,16 March 2017,01:27
32,,,,,,,F9 B4,,30 March 2017,01:00
33,,,,,,,F9 FTB1032.2,,1 May 2017,21:25
34,,,,,,,F9 FTB1038.2,,15 May 2017,14:17
35,,,,,,,F9 B4,,3 June 2017,05:33
36,,,,,,,F9 B4B1041.2,,23 June 2017,14:14
37,,,,,,,F9 B4B1039.2,,25 June 2017,20:30
38,,,,,,,F9 B4,,5 July 2017,22:51
39,,,,,,,F9 B5B1046.1,,14 August 2017,20:14
40,,,,,,,F9 B4B1043.2,,24 August 2017,19:47
41,,,,,,,F9 B4B1040.2,,7 September 2017,04:45
42,,,,,,,F9 B4B1045.2,,9 October 2017,09:42
43,,,,,,,F9 B5,,11 October 2017,05:50
44,,,,,,,F9 B5B1048,,30 October 2017,11:39
45,,,,,,,F9 B5B1046.2,,15 December 2017,05:18
46,,,,,,,F9 B5,,23 December 2017,04:45
47,,,,,,,F9 B5B1048.2,,8 January 2018,02:22
48,,,,,,,F9 B5B1047.2,,31 January 2018,20:46
49,,,,,,,F9 B5B1046.3,,22 February 2018,18:34:05
50,,,,,,,F9 B5,,6 March 2018,18:16
51,,,,,,,F9 B5,,30 March 2018,13:51
52,,,,,,,F9 B5B1049.2,,2 April 2018,15:31
53,,,,,,,F9 B5B1048.3,,18 April 2018,01:45
54,,,,,,,F9 B5[268],,11 May 2018,07:49
55,,,,,,,F9 B5,,22 May 2018,06:48
56,,,,,,,F9 B5B1049.3,,4 June 2018,02:30
57,,,,,,,F9 B5B1051.2,,29 June 2018,14:17
58,,,,,,,F9 B5B1056.2,,22 July 2018,22:01
59,,,,,,,F9 B5B1047.3,,25 July 2018,23:23
60,,,,,,,F9 B5,,7 August 2018,14:56
61,,,,,,,F9 B5,,10 September 2018,17:29
62,,,,,,,F9 B5B1056.3,,8 October 2018,00:10
63,,,,,,,F9 B5,,15 November 2018,02:19:21
64,,,,,,,F9 B5,,3 December 2018,15:30
65,,,,,,,F9 B5,,5 December 2018,14:07
66,,,,,,,F9 B5,,23 December 2018,15:05
67,,,,,,,F9 B5,,11 January 2019,04:50
68,,,,,,,F9 B5,,22 February 2019,12:16
69,,,,,,,F9 B5,,2 March 2019,19:30
70,,,,,,,F9 B5,,4 May 2019,19:22
71,,,,,,,F9 B5,,24 May 2019,01:25
72,,,,,,,F9 B5,,12 June 2019,09:21
73,,,,,,,F9 B5,,25 July 2019,20:10:46
74,,,,,,,F9 B5B1058.2,,6 August 2019,21:30
75,,,,,,,F9 B5,,11 November 2019,05:12
76,,,,,,,F9 B5B1049.6,,5 December 2019,14:31
77,,,,,,,F9 B5,,17 December 2019,23:18
78,,,,,,,F9 B5B1060.2,,7 January 2020,12:46:14
79,,,,,,,F9 B5B1058.3,,19 January 2020,11:29:34
80,,,,,,,F9 B5B1051.6,,29 January 2020,12:25:57
81,,,,,,,F9 B5,,17 February 2020,15:31:34
82,,,,,,,F9 B5,,7 March 2020,23:24:23
83,,,,,,,F9 B5,,18 March 2020,00:27
84,,,,,,,F9 B5,,22 April 2020,17:17:08
85,,,,,,,F9 B5 ♺,,30 May 2020,02:13
86,,,,,,,F9 B5 ♺,,4 June 2020,16:17:08
87,,,,,,,F9 B5 ♺,,13 June 2020,17:30:00
88,,,,,,,F9 B5 ♺,,30 June 2020,14:00:00
89,,,,,,,F9 B5,,20 July 2020,02:15
90,,,,,,,F9 B5B1051.8,,7 August 2020,13:02
91,,,,,,,F9 B5B1058.5,,18 August 2020,15:00
92,,,,,,,F9 B5 ♺,,30 August 2020,06:19
93,,,,,,,F9 B5 ♺,,3 September 2020,03:59:37
94,,,,,,,F9 B5 ♺,,6 October 2020,08:24
95,,,,,,,F9 B5 ♺,,18 October 2020,08:13:29
96,,,,,,,F9 B5 ♺,,24 October 2020,10:01
97,,,,,,,F9 B5B1060.6,,5 November 2020,08:28
98,,,,,,,F9 B5 ♺,,16 November 2020,16:34
99,,,,,,,F9 B5B1061.2,,21 November 2020,9:49
100,,,,,,,F9 B5B1060.7,,25 November 2020,03:44
101,,,,,,,F9 B5B1049.9,,6 December 2020,19:01
102,,,,,,,F9 B5B1051.10,,13 December 2020,06:42
103,,,,,,,F9 B5B1058.8,,19 December 2020,22:56
104,,,,,,,F9 B5B1063.2,,8 January 2021,18:59
105,,,,,,,F9 B5B1067.1,,20 January 2021,17:29
106,,,,,,,F9 B5,,24 January 2021,04:26
107,,,,,,,F9 v1.0B0003.1,,4 February 2021,18:45
108,,,,,,,F9 v1.0B0004.1,,16 February 2021,15:43
109,,,,,,,F9 v1.0B0005.1,,4 March 2021,07:44
110,,,,,,,F9 v1.0B0006.1,,11 March 2021,00:35
111,,,,,,,F9 v1.0B0007.1,,14 March 2021,15:10
112,,,,,,,F9 v1.1B1003,,24 March 2021,16:00
113,,,,,,,F9 v1.1,,7 April 2021,22:41
114,,,,,,,F9 v1.1,,23 April 2021,22:06
115,,,,,,,F9 v1.1,,29 April 2021,19:25
